goal,status,success_metrics,phases,validation_errors,execution_time,recovery_attempts,id,created_date,updated_date,created_by_id,created_by,is_sample
"Promote Udemy RealWorldCerts courses with 25% enrollment increase","executing","[{""metric"":""Course Enrollments"",""target"":""500"",""current"":387},{""metric"":""Conversion Rate"",""target"":""8%"",""current"":6.2},{""metric"":""Social Engagement"",""target"":""10000"",""current"":7845}]","[{""name"":""Market Research"",""duration"":""2h"",""responsible_agent"":""DataAnalyzer-X1"",""validation_check"":""Trend report with ≥5 sources"",""status"":""completed""},{""name"":""Content Creation"",""duration"":""4h"",""responsible_agent"":""ContentCreator-Pro"",""validation_check"":""SEO score >85/100"",""status"":""in_progress""},{""name"":""Social Distribution"",""duration"":""1h"",""responsible_agent"":""SocialBot-LinkedIn"",""validation_check"":""Posted on ≥3 platforms"",""status"":""pending""}]","[]","180","","6888cccbcb3a3b73af37929f","2025-07-29T13:29:47.153000","2025-07-29T13:29:47.153000","6888cc10e0a9deffbf21b5c4","keyhnt25@gmail.com",""
"Launch AWS certification awareness campaign","completed","[{""metric"":""Lead Generation"",""target"":""1200"",""current"":1384},{""metric"":""Email Signups"",""target"":""800"",""current"":956},{""metric"":""Brand Mentions"",""target"":""50"",""current"":73}]","[{""name"":""Audience Analysis"",""duration"":""1.5h"",""responsible_agent"":""DataAnalyzer-X1"",""validation_check"":""Demographics report completed"",""status"":""completed""},{""name"":""Campaign Design"",""duration"":""3h"",""responsible_agent"":""ContentCreator-Pro"",""validation_check"":""Creative assets approved"",""status"":""completed""},{""name"":""Multi-channel Launch"",""duration"":""2h"",""responsible_agent"":""SocialBot-LinkedIn"",""validation_check"":""Deployed across all channels"",""status"":""completed""}]","[]","390","","6888cccbcb3a3b73af3792a0","2025-07-29T13:29:47.153000","2025-07-29T13:29:47.153000","6888cc10e0a9deffbf21b5c4","keyhnt25@gmail.com",""
"Optimize course landing pages for better conversion","failed","[{""metric"":""Page Load Speed"",""target"":""<2s"",""current"":3.2},{""metric"":""Bounce Rate"",""target"":""<40%"",""current"":52},{""metric"":""Conversion Rate"",""target"":""12%"",""current"":4.1}]","[{""name"":""Performance Audit"",""duration"":""1h"",""responsible_agent"":""DataAnalyzer-X1"",""validation_check"":""Technical audit completed"",""status"":""completed""},{""name"":""Design Optimization"",""duration"":""6h"",""responsible_agent"":""ContentCreator-Pro"",""validation_check"":""A/B test variants ready"",""status"":""failed""},{""name"":""Implementation"",""duration"":""2h"",""responsible_agent"":""ManagerAI-Core"",""validation_check"":""Changes deployed successfully"",""status"":""pending""}]","[""Design agent capacity exceeded"",""Missing required A/B testing tools""]","420","2","6888cccbcb3a3b73af3792a1","2025-07-29T13:29:47.153000","2025-07-29T13:29:47.153000","6888cc10e0a9deffbf21b5c4","keyhnt25@gmail.com",""
" promote : https://www.udemy.com/user/younes-tsouli-2/ & https://www.realworldcerts.com/  https://www.tiktok.com/@realworldcerts.comhttps://www.youtube.com/@realworldcerts ","validated","[{""metric"":""Success Rate"",""target"":""95%"",""current"":0},{""metric"":""Response Time"",""target"":""<3s"",""current"":0}]","[{""name"":""Agent Initialization"",""duration"":""30s"",""responsible_agent"":""ManagerAI-Core"",""validation_check"":""All agents online and responsive"",""status"":""in_progress""},{""name"":""Task Distribution"",""duration"":""1m"",""responsible_agent"":""PlanValidator-Alpha"",""validation_check"":""Tasks assigned to capable agents"",""status"":""pending""},{""name"":""Execution Monitoring"",""duration"":""ongoing"",""responsible_agent"":""RecoveryAgent-Beta"",""validation_check"":""Real-time health monitoring active"",""status"":""pending""}]","[]","","","6888ea16d421ecdd42db07aa","2025-07-29T15:34:46.614000","2025-07-29T15:34:46.614000","6888cc10e0a9deffbf21b5c4","keyhnt25@gmail.com",""
"promote https://www.udemy.com/user/younes-tsouli-2/ & https://www.realworldcerts.com/ and increase traffic visibility & conversions https://www.youtube.com/@realworldcerts https://www.tiktok.com/@realworldcerts.com ","validated","[{""metric"":""Success Rate"",""target"":""95%"",""current"":0},{""metric"":""Response Time"",""target"":""<3s"",""current"":0}]","[{""name"":""Agent Initialization"",""duration"":""30s"",""responsible_agent"":""ManagerAI-Core"",""validation_check"":""All agents online and responsive"",""status"":""in_progress""},{""name"":""Task Distribution"",""duration"":""1m"",""responsible_agent"":""PlanValidator-Alpha"",""validation_check"":""Tasks assigned to capable agents"",""status"":""pending""},{""name"":""Execution Monitoring"",""duration"":""ongoing"",""responsible_agent"":""RecoveryAgent-Beta"",""validation_check"":""Real-time health monitoring active"",""status"":""pending""}]","[]","","","688910b7b10bca5ad67309cb","2025-07-29T18:19:35.627000","2025-07-29T18:19:35.627000","6888cc10e0a9deffbf21b5c4","keyhnt25@gmail.com",""
"Promote the ServiceNow Certified System Administrator (CSA) practice exams to IT professionals.","draft","[]","[]","[]","","","689cf3c05fbd43b94dce02ca","2025-08-13T20:21:20.880000","2025-08-13T20:21:20.880000","6888cc10e0a9deffbf21b5c4","keyhnt25@gmail.com",""
"Promote the Workday HCM Core Concepts & Practice Exams to HR and payroll professionals.","draft","[]","[]","[]","","","689cf3c05fbd43b94dce02cb","2025-08-13T20:21:20.893000","2025-08-13T20:21:20.893000","6888cc10e0a9deffbf21b5c4","keyhnt25@gmail.com",""
"Promote the SAP S/4HANA Financial Accounting (FICO) Exam Prep to finance and accounting professionals.","draft","[]","[]","[]","","","689cf3c05fbd43b94dce02cc","2025-08-13T20:21:20.899000","2025-08-13T20:21:20.899000","6888cc10e0a9deffbf21b5c4","keyhnt25@gmail.com",""
"Promote the SAP Ariba Sourcing & Procurement Practice Exams to procurement and supply chain professionals.","draft","[]","[]","[]","","","689cf3c05fbd43b94dce02cd","2025-08-13T20:21:20.903000","2025-08-13T20:21:20.903000","6888cc10e0a9deffbf21b5c4","keyhnt25@gmail.com",""
"Launch 'Non-Negotiable Skills' Enterprise Software Certification Campaign","executing","[{""metric"":""Course Enrollments"",""target"":""500+ per course"",""current"":0},{""metric"":""Revenue Target"",""target"":""$50,000 first month"",""current"":0},{""metric"":""Platform Reach"",""target"":""6 platforms"",""current"":0},{""metric"":""Conversion Rate"",""target"":""8% click-to-enrollment"",""current"":0}]","[{""name"":""ServiceNow CSA Campaign Launch"",""duration"":""72 hours"",""responsible_agent"":""EnterprisePromoter-Alpha"",""validation_check"":""Target IT professionals globally - ServiceNow is used by 85% of Fortune 500"",""status"":""in_progress""},{""name"":""Workday HCM Rollout"",""duration"":""48 hours"",""responsible_agent"":""HRTechSpecialist-Beta"",""validation_check"":""Focus on HR departments undergoing Workday migration"",""status"":""pending""},{""name"":""SAP S/4HANA FICO Promotion"",""duration"":""72 hours"",""responsible_agent"":""FinanceExpertAgent-Gamma"",""validation_check"":""Target finance teams and accounting professionals"",""status"":""pending""},{""name"":""SAP Ariba Sourcing Campaign"",""duration"":""48 hours"",""responsible_agent"":""ProcurementAgent-Delta"",""validation_check"":""Reach procurement and supply chain professionals"",""status"":""pending""}]","[]","","","689cf55c670d48aed1f281a5","2025-08-13T20:28:12.638000","2025-08-13T20:28:12.638000","6888cc10e0a9deffbf21b5c4","keyhnt25@gmail.com",""
