course_name,original_price,discounted_price,is_discounted,promotion_status,assigned_agent,promo_content,hashtags,platforms_posted,engagement_metrics,id,created_date,updated_date,created_by_id,created_by,is_sample
"ANSYS Certified Professional (ACP) Exam","30","26","true","pending","","","[""#ANSYS"",""#Simulation"",""#EngineeringCert""]","[]","","688b37bde58f1bc8b4b4b6d2","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"AWS Certified IoT – Specialty Exam","29","20","true","pending","","","[""#AWS"",""#IoT"",""#CloudCert""]","[]","","688b37bde58f1bc8b4b4b6d3","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"AWS DevOps Engineer – Professional Exam","29","20","true","pending","","","[""#AWS"",""#DevOps"",""#CloudCert""]","[]","","688b37bde58f1bc8b4b4b6d4","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"Autodesk Certified Professional (ACP) Exam","19","15","true","pending","","","[""#Autodesk"",""#CAD"",""#Design""]","[]","","688b37bde58f1bc8b4b4b6d5","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"Autodesk Simulation Certification","19","15","true","pending","","","[""#Autodesk"",""#Simulation"",""#CAD""]","[]","","688b37bde58f1bc8b4b4b6d6","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"Azure DevOps Engineer Expert (AZ-400) Exam","19","15","true","pending","","","[""#Azure"",""#DevOps"",""#Microsoft""]","[]","","688b37bde58f1bc8b4b4b6d7","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"Azure IoT Developer Specialty Exam","19","15","true","pending","","","[""#Azure"",""#IoT"",""#Microsoft""]","[]","","688b37bde58f1bc8b4b4b6d8","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"Blockchain and Distributed Ledger Technology (DLT) Exam","19","15","true","pending","","","[""#Blockchain"",""#DLT"",""#Crypto""]","[]","","688b37bde58f1bc8b4b4b6d9","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"CATIA V5 Certified Professional Exam","29","20","true","pending","","","[""#CATIA"",""#CAD"",""#Design""]","[]","","688b37bde58f1bc8b4b4b6da","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"CEH v13 Exam","29","20","true","pending","","","[""#CEH"",""#CyberSecurity"",""#EthicalHacking""]","[]","","688b37bde58f1bc8b4b4b6db","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"Certified Artificial Intelligence Professional (CAIP) Exam","30","25","true","pending","","","[""#AI"",""#MachineLearning"",""#ArtificialIntelligence""]","[]","","688b37bde58f1bc8b4b4b6dc","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
