title,amount_usd,usdt_network,address,reference
LinkedIn Professional Outreach,425.0,ERC20,0xA46225a984E2B2B5E5082E52AE8d8915A09fEfe7,LinkedIn Professional Outreach
Affiliate Marketing Campaign Q4,875.5,ERC20,0xA46225a984E2B2B5E5082E52AE8d8915A09fEfe7,Affiliate Marketing Campaign Q4
RealWorldCerts December Sales Push,1250.0,ERC20,0xA46225a984E2B2B5E5082E52AE8d8915A09fEfe7,RealWorldCerts December Sales Push
November LinkedIn B2B Outreach,1620.0,ERC20,0xA46225a984E2B2B5E5082E52AE8d8915A09fEfe7,November LinkedIn B2B Outreach
Black Friday Campaign 2024,3875.5,ERC20,0xA46225a984E2B2B5E5082E52AE8d8915A09fEfe7,Black Friday Campaign 2024
September YouTube Content Series,1755.0,ERC20,0xA46225a984E2B2B5E5082E52AE8d8915A09fEfe7,September YouTube Content Series
Q3 End Affiliate Blast,1340.5,ERC20,0xA46225a984E2B2B5E5082E52AE8d8915A09fEfe7,Q3 End Affiliate Blast
December RealWorldCerts Sales Blitz,2450.0,ERC20,0xA46225a984E2B2B5E5082E52AE8d8915A09fEfe7,December RealWorldCerts Sales Blitz
October Certification Month Push,2890.0,ERC20,0xA46225a984E2B2B5E5082E52AE8d8915A09fEfe7,October Certification Month Push
2025 New Year Kickoff Campaign,1950.0,ERC20,0xA46225a984E2B2B5E5082E52AE8d8915A09fEfe7,2025 New Year Kickoff Campaign
