Route,Amount,Currency,Reference,PayPalMeLink,USDT_ERC20_Address
PayPal,425.0,USD,Mission payout for: LinkedIn Professional Outreach,https://www.paypal.me/realworldcerts/425.0,0xA46225a984E2B2B5E5082E52AE8d8915A09fEfe7
PayPal,875.5,USD,Mission payout for: Affiliate Marketing Campaign Q4,https://www.paypal.me/realworldcerts/875.5,0xA46225a984E2B2B5E5082E52AE8d8915A09fEfe7
PayPal,1250.0,USD,Mission payout for: RealWorldCerts December Sales Push,https://www.paypal.me/realworldcerts/1250.0,0xA46225a984E2B2B5E5082E52AE8d8915A09fEfe7
PayPal,1620.0,USD,Mission payout for: November LinkedIn B2B Outreach,https://www.paypal.me/realworldcerts/1620.0,0xA46225a984E2B2B5E5082E52AE8d8915A09fEfe7
PayPal,3875.5,USD,Mission payout for: Black Friday Campaign 2024,https://www.paypal.me/realworldcerts/3875.5,0xA46225a984E2B2B5E5082E52AE8d8915A09fEfe7
PayPal,1755.0,USD,Mission payout for: September YouTube Content Series,https://www.paypal.me/realworldcerts/1755.0,0xA46225a984E2B2B5E5082E52AE8d8915A09fEfe7
PayPal,1340.5,USD,Mission payout for: Q3 End Affiliate Blast,https://www.paypal.me/realworldcerts/1340.5,0xA46225a984E2B2B5E5082E52AE8d8915A09fEfe7
PayPal,2450.0,USD,Mission payout for: December RealWorldCerts Sales Blitz,https://www.paypal.me/realworldcerts/2450.0,0xA46225a984E2B2B5E5082E52AE8d8915A09fEfe7
PayPal,2890.0,USD,Mission payout for: October Certification Month Push,https://www.paypal.me/realworldcerts/2890.0,0xA46225a984E2B2B5E5082E52AE8d8915A09fEfe7
PayPal,1950.0,USD,Mission payout for: 2025 New Year Kickoff Campaign,https://www.paypal.me/realworldcerts/1950.0,0xA46225a984E2B2B5E5082E52AE8d8915A09fEfe7
