Email,Amount,Currency,Unique ID,Note
,425.0,USD,PAYOUT-1-20251109082546,Mission payout for: LinkedIn Professional Outreach
,875.5,USD,PAYOUT-2-20251109082546,Mission payout for: Affiliate Marketing Campaign Q4
,1250.0,USD,PAYOUT-3-20251109082546,Mission payout for: RealWorldCerts December Sales Push
,1620.0,USD,PAYOUT-4-20251109082546,Mission payout for: November LinkedIn B2B Outreach
,3875.5,USD,PAYOUT-5-20251109082546,Mission payout for: Black Friday Campaign 2024
,1755.0,USD,PAYOUT-6-20251109082546,Mission payout for: September YouTube Content Series
,1340.5,USD,PAYOUT-7-20251109082546,Mission payout for: Q3 End Affiliate Blast
,2450.0,USD,PAYOUT-8-20251109082546,Mission payout for: December RealWorldCerts Sales Blitz
,2890.0,USD,PAYOUT-9-20251109082546,Mission payout for: October Certification Month Push
,1950.0,USD,PAYOUT-10-20251109082546,Mission payout for: 2025 New Year Kickoff Campaign
