;;;;;;
R‚f‚rence;D‚signation;Quantit‚ livr‚e;Prix de vente;Remise (%);;Total par ligne
;Le report....;"1
1
1
1
1
1
1
1
1
1
1
1
4
1
1
10
1
1
1
1";"27,00
27,00
115,00
115,00
50,00
32,00
129,00
75,00
19,00
150,00
30,00
140,00
8,75
27,00
27,00
14,00
50,00
105,00
105,00
105,00";;;"1 157,90
27,00
27,00
115,00
115,00
50,00
32,00
129,00
75,00
19,00
150,00
30,00
140,00
35,00
27,00
27,00
140,00
50,00
105,00
105,00
105,00"
3086123547827;STYLO BIC CRISTAL UP VERT  BLANCHE;;;;;
;1.2MM BOITE DE 20 PS;;;;;
3086123547810;STYLO BIC CRISTAL UP ROUGE   BLANCHE;;;;;
;1.2MM BOITE DE 20 PS;;;;;
4902505163210;STYLO PILOT  G2 BLEU 12PCS;;;;;
4902505163197;STYLO PILOT  G2 NOIR 12PCS;;;;;
1697350400066;COLLE BATON STICK 21G DELI BOITE DE 12;;;;;
;PCS 7102;;;;;
1697350400799;COLLE BATON STICK DELI 9G REF E 7101;;;;;
;BOITE DE 12 PCS;;;;;
4026700351064;COLLE UHU STICK ORIGINAL 37376 21G;;;;;
;12PCS;;;;;
6111033003334;COLLE UHU TUBE PETITE N10 30PCS;;;;;
6111249072971;COLLE EPONGE EXPRESS REF XJ-2971;;;;;
;BOITE DE 24PCS;;;;;
015863;COLLE UHU TUBE-Nø13 35CC BOITE 18PCS;;;;;
6954884545703;REGLE 20 CM MASH MALOW BOITE DE;;;;;
;24PCS KR971172;;;;;
4026700346060;COLLE UHU STICK ORIGINAL 8.2G 24PCS;;;;;
6924035806748;CALCULATRICE PETIT GATES REF DC-210N;;;;;
3086121101113;STYLO BIC ORANGE FIN  BLEU REF;;;;;
;1199110111 BOITE DE 20 PCS;;;;;
3086121101144;STYLO BIC ORANGE FIN NOIR REF;;;;;
;1199110114 BOITE DE 20 PCS;;;;;
8907016035373;POCHETTE DE 10  STYLO COULEURS;;;;;
;CLARO REF CL-3637;;;;;
0161112490700;CORRECTEUR STYLO EXPRESS REF;;;;;
;XO-0069 BOITE DE 24PCS;;;;;
734484159168;MARQUEUR TABLEAU SIGMAFLO  LIQUID /;;;;;
;BLEU 12PCS;;;;;
734484159113;MARQUEUR TABLEAU SIGMAFLO  LIQUID;;;;;
;/NOIR 12PCS;;;;;
734484159144;MARQUEUR TABLEAU SIGMAFLO  LIQUID;;;;;
;/VERT 12PCS;;;;;
;;;A reporter...;;;2?660,90
