# Curated Local Supplier Shortlist (from OWNER's TikTok export 210-following, 2026-09-01)
# Maps real Moroccan/wholesale suppliers w/ contacts to the stale ProcurementItem categories.
# Source: TTExporter-younes.li00-210-following.csv (OWNER attachment). Hand-curated for actionability.
# NOTE: These are candidate leads to resolve the 60 'sourced' + 63 'Wholesale supplier' stalled items.
# Fulfilment MUST still produce orderRef + carrier trackingNumber + deliveryProofHash before 'delivered'.

category,supplier,tiktok,what,contact,notes
electronics,Alfa Gros,alfagros,"Electronics wholesale, direct importer","0630000011 (tm alfagros)",grossiste direct import-electronic; Casablanca kaysariya
electronics,Orgostech,orgostech,"Cameras, PCs, TV box, abn_tv",,tech retailer
electronics,Planet Electro,planet.electro1,"All electronics wholesale + resale (eveny).",0684390026,"Kénitra; wholesale + installment
electronics,Electro Rachid,electro76rachid,"Electronics, household appliances","+212607751166 (Driouch)",street shop
electronics,Electro Ragragui,electroragragui,"PCs, phones, accessories; free delivery",,electronics chain
electronics,Electroissame,electroissame,"Wholesale electronics",,Ouled Taïma weekly market
electronics,Meza Phone,meza_phone1,"Phones + accessories",0646472014 (Salé),phone shop
electronics,MobileLand,mobilelandlcd,"LCD/OLED screens, wholesale & retail",,phone screens
electronics,MONTA Phone (MOUNIR),mouniir8,"Phone bulk/wholesale",0666155803,phone wholesale
electronics,Kamal Phone,kamalgerizmne,"Phones repair+resale",0681793843 (Salé)
electronics,Errammech,errammech,"Phones, high quality, good price",,phone seller
electronics,Khalid Phone,khalidphone45,"Phone spare parts","0644545464 (Marrakech)",spare parts
electronics,gk_6och,gk_6och,"Phones, iPads + accessories",0665544024,game top-up + phones
electronics,AI7 Store,ai7store,"Gadgets/phones store",0664472999
electronics,onestore Jawhara,onestorejawhara,"Tech retailer",0661439726
electronics,PCYAT,pcyat.officiel,"Laptops/PCs + accessories",0655555582
electronics,KRTechPro,krtechpro,"Used/refurb PCs & workstations","0604118058 (Casa)",refurb laptops alternative (mirrors Avito)
electronics,Huo/3C factory,huangchuxin3,"China 3C parts factory; phone parts wholesale","+8613802916563 (WA)",import spare-parts source
electronics,CoolSilk,coolsilkapparel,"Factory: tech/garment",,low-MOQ factory
electronics,Aura Sport,aurasport01,"Wholesale electronics/sport",+905378403920,Türkiye wholesale
electronics,lorex toptan,lorextoptan,"Wholesale only",05366044996,Türkiye wholesale
perfumes,Milan Scent,milanscent,"Fragrances art",milanscent@gmail.com,strong brand 156k
perfumes,NoirScent,noirscent28,"Perfume reviews",,fragrance
perfumes,Clay Note Fragrance,clay.note.fragrance,"Fragrance store","arina.fragrance@gmail.com / Telegram clay_note_fragrance"
perfumes,Fragrantix,fragrantix,"Fragrance",,trend store
perfumes,Riyal Aroma,riyal.aroma,"Fragrance store UK",,uk store
perfumes,Parfumerie Prestige,parfumerie_presti,"Parfumerie.ma (online)",0782-920468,official site
perfumes,Parfumerie Ghali,parfumrie.ghali,"Authentic perfumes, décants 5-20ml, deliv MA"
perfumes,Lazrak Fragrances,lazrak.fragrances,"Exception perfumes; occ. dist. shaikhsaeed.ma",,Fès official distributor
perfumes,Rokn Taib,rokn_taib,"Perfumes/oud/incense/saffron; Hajj/Umra",0636552840 (Casa habous)
perfumes,6och/gk,,-perfumes,,,
tobacco,lepiceriefineandco.ma,,(already in skill approved list),,use skill platform
tobacco,Brooklyn Smoke Shop,,(already in skill approved list),,use skill platform
