Date;Libellé;Débit;Crédit;Solde
12/01/2026;VIREMENT REÇU - TSProdPay SARL;;85.00;1,250.00
15/01/2026;ACHAT CARTE 12/01;;-320.50;929.50
20/01/2026;VIREMENT REÇU - Client XYZ Consulting;;40.00;969.50
25/01/2026;PRÉLÈVEMENT ONEDrive;;-29.99;939.51
01/02/2026;VIREMENT REÇU - M.Tsouli (transfer perso);;500.00;1,439.51
05/02/2026;ACHAT CARTE 03/02;;-150.00;1,289.51
10/02/2026;VIREMENT EMIS - Loyer Janvier;-4,500.00;;-3,210.49
15/02/2026;SALAIRE - Employer SARL;;12,000.00;8,789.51
20/02/2026;ACHAT CARTE 18/02;;-89.90;8,699.61
01/03/2026;VIREMENT REÇU - Client ABC Inc;;1,500.00;10,199.61
05/03/2026;ACHAT CARTE 03/03;;-45.20;10,154.41
10/03/2026;PRÉLÈVEMENT Internet;;-399.00;9,755.41
15/03/2026;VIREMENT EMIS - Loyer Mars;-4,500.00;;5,255.41
20/03/2026;ACHAT CARTE 18/03;;-220.00;5,035.41
25/03/2026;RETRAIT DAB 23/03;-1,000.00;;4,035.41
30/03/2026;VIREMENT REÇU - PayPal Inc (settlement);;2,317.45;6,352.86
31/03/2026;FRAIS TENUE DE COMPTE;-25.00;;6,327.86
05/04/2026;ACHAT CARTE 03/04;;-67.80;6,260.06
10/04/2026;VIREMENT EMIS - Loyer Avril;-4,500.00;;1,760.06
15/04/2026;SALAIRE - Employer SARL;;12,000.00;13,760.06
20/04/2026;ACHAT CARTE 18/04;;-156.00;13,604.06
25/04/2026;RETRAIT DAB 23/04;-500.00;;13,104.06
30/04/2026;VIREMENT REÇU - Stripe Inc (payout);;3,200.00;16,304.06
