code,percent,sku,start,end
AWS-DVA-00,10,AWS-DVA-001,2026-01-05,2026-02-04
AWS-DVA-00,10,AWS-DVA-001,2026-01-05,2026-02-04
AWS-DVA-00,10,AWS-DVA-001,2026-01-05,2026-02-04
AWS-DVA-00,10,AWS-DVA-001,2026-01-05,2026-02-04
AWS-DVA-00,10,AWS-DVA-001,2026-01-05,2026-02-04
AWS-DVA-00,10,AWS-DVA-001,2026-01-05,2026-02-04
AWS-DVA-00,10,AWS-DVA-001,2026-01-05,2026-02-04
AWS-DVA-00,10,AWS-DVA-001,2026-01-05,2026-02-04
AWS-DVA-00,10,AWS-DVA-001,2026-01-05,2026-02-04
AWS-DVA-00,10,AWS-DVA-001,2026-01-05,2026-02-04
AWS-DVA-00,10,AWS-DVA-001,2026-01-05,2026-02-04
AWS-DVA-00,10,AWS-DVA-001,2026-01-05,2026-02-04
AWS-SAA-00,10,AWS-SAA-001,2026-01-05,2026-02-04
AWS-SAA-00,10,AWS-SAA-001,2026-01-05,2026-02-04
AWS-SAA-00,10,AWS-SAA-001,2026-01-05,2026-02-04
AWS-SAA-00,10,AWS-SAA-001,2026-01-05,2026-02-04
AWS-SAA-00,10,AWS-SAA-001,2026-01-05,2026-02-04
AWS-SAA-00,10,AWS-SAA-001,2026-01-05,2026-02-04
AWS-SAA-00,10,AWS-SAA-001,2026-01-05,2026-02-04
AWS-SAA-00,10,AWS-SAA-001,2026-01-05,2026-02-04
AWS-SAA-00,10,AWS-SAA-001,2026-01-05,2026-02-04
AWS-SAA-00,10,AWS-SAA-001,2026-01-05,2026-02-04
AWS-SAA-00,10,AWS-SAA-001,2026-01-05,2026-02-04
AWS-SAA-00,10,AWS-SAA-001,2026-01-05,2026-02-04
AZ104-001-,10,AZ104-001,2026-01-05,2026-02-04
AZ104-001-,10,AZ104-001,2026-01-05,2026-02-04
AZ104-001-,10,AZ104-001,2026-01-05,2026-02-04
AZ104-001-,10,AZ104-001,2026-01-05,2026-02-04
AZ104-001-,10,AZ104-001,2026-01-05,2026-02-04
AZ104-001-,10,AZ104-001,2026-01-05,2026-02-04
AZ104-001-,10,AZ104-001,2026-01-05,2026-02-04
AZ104-001-,10,AZ104-001,2026-01-05,2026-02-04
AZ104-001-,10,AZ104-001,2026-01-05,2026-02-04
AZ104-001-,10,AZ104-001,2026-01-05,2026-02-04
AZ104-001-,10,AZ104-001,2026-01-05,2026-02-04
AZ104-001-,10,AZ104-001,2026-01-05,2026-02-04
AZ900-001-,10,AZ900-001,2026-01-05,2026-02-04
AZ900-001-,10,AZ900-001,2026-01-05,2026-02-04
AZ900-001-,10,AZ900-001,2026-01-05,2026-02-04
AZ900-001-,10,AZ900-001,2026-01-05,2026-02-04
AZ900-001-,10,AZ900-001,2026-01-05,2026-02-04
AZ900-001-,10,AZ900-001,2026-01-05,2026-02-04
AZ900-001-,10,AZ900-001,2026-01-05,2026-02-04
AZ900-001-,10,AZ900-001,2026-01-05,2026-02-04
AZ900-001-,10,AZ900-001,2026-01-05,2026-02-04
AZ900-001-,10,AZ900-001,2026-01-05,2026-02-04
AZ900-001-,10,AZ900-001,2026-01-05,2026-02-04
AZ900-001-,10,AZ900-001,2026-01-05,2026-02-04
CEH-12-001,10,CEH-12-001,2026-01-05,2026-02-04
CEH-12-001,10,CEH-12-001,2026-01-05,2026-02-04
CEH-12-001,10,CEH-12-001,2026-01-05,2026-02-04
CEH-12-001,10,CEH-12-001,2026-01-05,2026-02-04
CEH-12-001,10,CEH-12-001,2026-01-05,2026-02-04
CEH-12-001,10,CEH-12-001,2026-01-05,2026-02-04
