slug,base_url,meta_url,tiktok_url,youtube_url
aws-developer-associate-course,https://www.realworldcerts.com/courses/aws-developer-associate-course.html,https://www.realworldcerts.com/courses/aws-developer-associate-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=aws-developer-associate-course,https://www.realworldcerts.com/courses/aws-developer-associate-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=aws-developer-associate-course,https://www.realworldcerts.com/courses/aws-developer-associate-course.html?utm_source=youtube&utm_medium=short&utm_campaign=aws-developer-associate-course
aws-solutions-architect-associate-course,https://www.realworldcerts.com/courses/aws-solutions-architect-associate-course.html,https://www.realworldcerts.com/courses/aws-solutions-architect-associate-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=aws-solutions-architect-associate-course,https://www.realworldcerts.com/courses/aws-solutions-architect-associate-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=aws-solutions-architect-associate-course,https://www.realworldcerts.com/courses/aws-solutions-architect-associate-course.html?utm_source=youtube&utm_medium=short&utm_campaign=aws-solutions-architect-associate-course
azure-administrator-az-104-course,https://www.realworldcerts.com/courses/azure-administrator-az-104-course.html,https://www.realworldcerts.com/courses/azure-administrator-az-104-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=azure-administrator-az-104-course,https://www.realworldcerts.com/courses/azure-administrator-az-104-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=azure-administrator-az-104-course,https://www.realworldcerts.com/courses/azure-administrator-az-104-course.html?utm_source=youtube&utm_medium=short&utm_campaign=azure-administrator-az-104-course
azure-fundamentals-az-900-course,https://www.realworldcerts.com/courses/azure-fundamentals-az-900-course.html,https://www.realworldcerts.com/courses/azure-fundamentals-az-900-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=azure-fundamentals-az-900-course,https://www.realworldcerts.com/courses/azure-fundamentals-az-900-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=azure-fundamentals-az-900-course,https://www.realworldcerts.com/courses/azure-fundamentals-az-900-course.html?utm_source=youtube&utm_medium=short&utm_campaign=azure-fundamentals-az-900-course
ceh-v12-ethical-hacking-course,https://www.realworldcerts.com/courses/ceh-v12-ethical-hacking-course.html,https://www.realworldcerts.com/courses/ceh-v12-ethical-hacking-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=ceh-v12-ethical-hacking-course,https://www.realworldcerts.com/courses/ceh-v12-ethical-hacking-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=ceh-v12-ethical-hacking-course,https://www.realworldcerts.com/courses/ceh-v12-ethical-hacking-course.html?utm_source=youtube&utm_medium=short&utm_campaign=ceh-v12-ethical-hacking-course
certified-kubernetes-administrator-course,https://www.realworldcerts.com/courses/certified-kubernetes-administrator-course.html,https://www.realworldcerts.com/courses/certified-kubernetes-administrator-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=certified-kubernetes-administrator-course,https://www.realworldcerts.com/courses/certified-kubernetes-administrator-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=certified-kubernetes-administrator-course,https://www.realworldcerts.com/courses/certified-kubernetes-administrator-course.html?utm_source=youtube&utm_medium=short&utm_campaign=certified-kubernetes-administrator-course
certified-kubernetes-application-developer-course,https://www.realworldcerts.com/courses/certified-kubernetes-application-developer-course.html,https://www.realworldcerts.com/courses/certified-kubernetes-application-developer-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=certified-kubernetes-application-developer-course,https://www.realworldcerts.com/courses/certified-kubernetes-application-developer-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=certified-kubernetes-application-developer-course,https://www.realworldcerts.com/courses/certified-kubernetes-application-developer-course.html?utm_source=youtube&utm_medium=short&utm_campaign=certified-kubernetes-application-developer-course
cisco-ccna-200-301-course,https://www.realworldcerts.com/courses/cisco-ccna-200-301-course.html,https://www.realworldcerts.com/courses/cisco-ccna-200-301-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=cisco-ccna-200-301-course,https://www.realworldcerts.com/courses/cisco-ccna-200-301-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=cisco-ccna-200-301-course,https://www.realworldcerts.com/courses/cisco-ccna-200-301-course.html?utm_source=youtube&utm_medium=short&utm_campaign=cisco-ccna-200-301-course
cissp-full-domains-course,https://www.realworldcerts.com/courses/cissp-full-domains-course.html,https://www.realworldcerts.com/courses/cissp-full-domains-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=cissp-full-domains-course,https://www.realworldcerts.com/courses/cissp-full-domains-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=cissp-full-domains-course,https://www.realworldcerts.com/courses/cissp-full-domains-course.html?utm_source=youtube&utm_medium=short&utm_campaign=cissp-full-domains-course
comptia-a-complete-course,https://www.realworldcerts.com/courses/comptia-a-complete-course.html,https://www.realworldcerts.com/courses/comptia-a-complete-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=comptia-a-complete-course,https://www.realworldcerts.com/courses/comptia-a-complete-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=comptia-a-complete-course,https://www.realworldcerts.com/courses/comptia-a-complete-course.html?utm_source=youtube&utm_medium=short&utm_campaign=comptia-a-complete-course
