channel,objective,daily_budget,landing_url
Meta,Sales,50,https://www.realworldcerts.com/courses/comptia-a-complete-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=comptia-a-complete-course
Google,Sales,50,https://www.realworldcerts.com/courses/comptia-a-complete-course.html?utm_source=google&utm_medium=cpc&utm_campaign=comptia-a-complete-course
TikTok,Sales,25,https://www.realworldcerts.com/courses/comptia-a-complete-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=comptia-a-complete-course
YouTube,Sales,25,https://www.realworldcerts.com/courses/comptia-a-complete-course.html?utm_source=youtube&utm_medium=short&utm_campaign=comptia-a-complete-course
Meta,Sales,50,https://www.realworldcerts.com/courses/comptia-network-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=comptia-network-course
Google,Sales,50,https://www.realworldcerts.com/courses/comptia-network-course.html?utm_source=google&utm_medium=cpc&utm_campaign=comptia-network-course
TikTok,Sales,25,https://www.realworldcerts.com/courses/comptia-network-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=comptia-network-course
YouTube,Sales,25,https://www.realworldcerts.com/courses/comptia-network-course.html?utm_source=youtube&utm_medium=short&utm_campaign=comptia-network-course
Meta,Sales,50,https://www.realworldcerts.com/courses/comptia-security-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=comptia-security-course
Google,Sales,50,https://www.realworldcerts.com/courses/comptia-security-course.html?utm_source=google&utm_medium=cpc&utm_campaign=comptia-security-course
TikTok,Sales,25,https://www.realworldcerts.com/courses/comptia-security-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=comptia-security-course
YouTube,Sales,25,https://www.realworldcerts.com/courses/comptia-security-course.html?utm_source=youtube&utm_medium=short&utm_campaign=comptia-security-course
Meta,Sales,50,https://www.realworldcerts.com/courses/aws-solutions-architect-associate-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=aws-solutions-architect-associate-course
Google,Sales,50,https://www.realworldcerts.com/courses/aws-solutions-architect-associate-course.html?utm_source=google&utm_medium=cpc&utm_campaign=aws-solutions-architect-associate-course
TikTok,Sales,25,https://www.realworldcerts.com/courses/aws-solutions-architect-associate-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=aws-solutions-architect-associate-course
YouTube,Sales,25,https://www.realworldcerts.com/courses/aws-solutions-architect-associate-course.html?utm_source=youtube&utm_medium=short&utm_campaign=aws-solutions-architect-associate-course
Meta,Sales,50,https://www.realworldcerts.com/courses/aws-developer-associate-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=aws-developer-associate-course
Google,Sales,50,https://www.realworldcerts.com/courses/aws-developer-associate-course.html?utm_source=google&utm_medium=cpc&utm_campaign=aws-developer-associate-course
TikTok,Sales,25,https://www.realworldcerts.com/courses/aws-developer-associate-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=aws-developer-associate-course
YouTube,Sales,25,https://www.realworldcerts.com/courses/aws-developer-associate-course.html?utm_source=youtube&utm_medium=short&utm_campaign=aws-developer-associate-course
Meta,Sales,50,https://www.realworldcerts.com/courses/google-associate-cloud-engineer-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=google-associate-cloud-engineer-course
Google,Sales,50,https://www.realworldcerts.com/courses/google-associate-cloud-engineer-course.html?utm_source=google&utm_medium=cpc&utm_campaign=google-associate-cloud-engineer-course
TikTok,Sales,25,https://www.realworldcerts.com/courses/google-associate-cloud-engineer-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=google-associate-cloud-engineer-course
YouTube,Sales,25,https://www.realworldcerts.com/courses/google-associate-cloud-engineer-course.html?utm_source=youtube&utm_medium=short&utm_campaign=google-associate-cloud-engineer-course
Meta,Sales,50,https://www.realworldcerts.com/courses/azure-administrator-az-104-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=azure-administrator-az-104-course
Google,Sales,50,https://www.realworldcerts.com/courses/azure-administrator-az-104-course.html?utm_source=google&utm_medium=cpc&utm_campaign=azure-administrator-az-104-course
TikTok,Sales,25,https://www.realworldcerts.com/courses/azure-administrator-az-104-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=azure-administrator-az-104-course
YouTube,Sales,25,https://www.realworldcerts.com/courses/azure-administrator-az-104-course.html?utm_source=youtube&utm_medium=short&utm_campaign=azure-administrator-az-104-course
Meta,Sales,50,https://www.realworldcerts.com/courses/azure-fundamentals-az-900-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=azure-fundamentals-az-900-course
Google,Sales,50,https://www.realworldcerts.com/courses/azure-fundamentals-az-900-course.html?utm_source=google&utm_medium=cpc&utm_campaign=azure-fundamentals-az-900-course
TikTok,Sales,25,https://www.realworldcerts.com/courses/azure-fundamentals-az-900-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=azure-fundamentals-az-900-course
YouTube,Sales,25,https://www.realworldcerts.com/courses/azure-fundamentals-az-900-course.html?utm_source=youtube&utm_medium=short&utm_campaign=azure-fundamentals-az-900-course
Meta,Sales,50,https://www.realworldcerts.com/courses/cisco-ccna-200-301-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=cisco-ccna-200-301-course
Google,Sales,50,https://www.realworldcerts.com/courses/cisco-ccna-200-301-course.html?utm_source=google&utm_medium=cpc&utm_campaign=cisco-ccna-200-301-course
TikTok,Sales,25,https://www.realworldcerts.com/courses/cisco-ccna-200-301-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=cisco-ccna-200-301-course
YouTube,Sales,25,https://www.realworldcerts.com/courses/cisco-ccna-200-301-course.html?utm_source=youtube&utm_medium=short&utm_campaign=cisco-ccna-200-301-course
Meta,Sales,50,https://www.realworldcerts.com/courses/terraform-associate-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=terraform-associate-course
Google,Sales,50,https://www.realworldcerts.com/courses/terraform-associate-course.html?utm_source=google&utm_medium=cpc&utm_campaign=terraform-associate-course
TikTok,Sales,25,https://www.realworldcerts.com/courses/terraform-associate-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=terraform-associate-course
YouTube,Sales,25,https://www.realworldcerts.com/courses/terraform-associate-course.html?utm_source=youtube&utm_medium=short&utm_campaign=terraform-associate-course
Meta,Sales,50,https://www.realworldcerts.com/courses/certified-kubernetes-administrator-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=certified-kubernetes-administrator-course
Google,Sales,50,https://www.realworldcerts.com/courses/certified-kubernetes-administrator-course.html?utm_source=google&utm_medium=cpc&utm_campaign=certified-kubernetes-administrator-course
TikTok,Sales,25,https://www.realworldcerts.com/courses/certified-kubernetes-administrator-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=certified-kubernetes-administrator-course
YouTube,Sales,25,https://www.realworldcerts.com/courses/certified-kubernetes-administrator-course.html?utm_source=youtube&utm_medium=short&utm_campaign=certified-kubernetes-administrator-course
Meta,Sales,50,https://www.realworldcerts.com/courses/certified-kubernetes-application-developer-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=certified-kubernetes-application-developer-course
Google,Sales,50,https://www.realworldcerts.com/courses/certified-kubernetes-application-developer-course.html?utm_source=google&utm_medium=cpc&utm_campaign=certified-kubernetes-application-developer-course
TikTok,Sales,25,https://www.realworldcerts.com/courses/certified-kubernetes-application-developer-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=certified-kubernetes-application-developer-course
YouTube,Sales,25,https://www.realworldcerts.com/courses/certified-kubernetes-application-developer-course.html?utm_source=youtube&utm_medium=short&utm_campaign=certified-kubernetes-application-developer-course
Meta,Sales,50,https://www.realworldcerts.com/courses/devops-professional-dop-c02-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=devops-professional-dop-c02-course
Google,Sales,50,https://www.realworldcerts.com/courses/devops-professional-dop-c02-course.html?utm_source=google&utm_medium=cpc&utm_campaign=devops-professional-dop-c02-course
TikTok,Sales,25,https://www.realworldcerts.com/courses/devops-professional-dop-c02-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=devops-professional-dop-c02-course
YouTube,Sales,25,https://www.realworldcerts.com/courses/devops-professional-dop-c02-course.html?utm_source=youtube&utm_medium=short&utm_campaign=devops-professional-dop-c02-course
Meta,Sales,50,https://www.realworldcerts.com/courses/itil-4-foundation-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=itil-4-foundation-course
Google,Sales,50,https://www.realworldcerts.com/courses/itil-4-foundation-course.html?utm_source=google&utm_medium=cpc&utm_campaign=itil-4-foundation-course
TikTok,Sales,25,https://www.realworldcerts.com/courses/itil-4-foundation-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=itil-4-foundation-course
YouTube,Sales,25,https://www.realworldcerts.com/courses/itil-4-foundation-course.html?utm_source=youtube&utm_medium=short&utm_campaign=itil-4-foundation-course
Meta,Sales,50,https://www.realworldcerts.com/courses/pmp-exam-prep-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=pmp-exam-prep-course
Google,Sales,50,https://www.realworldcerts.com/courses/pmp-exam-prep-course.html?utm_source=google&utm_medium=cpc&utm_campaign=pmp-exam-prep-course
TikTok,Sales,25,https://www.realworldcerts.com/courses/pmp-exam-prep-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=pmp-exam-prep-course
YouTube,Sales,25,https://www.realworldcerts.com/courses/pmp-exam-prep-course.html?utm_source=youtube&utm_medium=short&utm_campaign=pmp-exam-prep-course
